Scope           | Variable        | Typification     
AIC.pfit        | object          | Formal Parameter 
AIC.pfit        | ...             | Formal Parameter 
AIC.pfit        | k               | Formal Parameter 
AIC.pfit        | loglik          | Free ( Exists in pfit) 
Global          | AIC             | Free (System)   
Global          | pfit            | Funtion Call    
Global          | dnames          | Local Variable  
Global          | isVirtualClass  | Free (System)   
Global          | slotNames       | Free (System)   
setMethod       | name            | Formal Parameter 
x               | format          | Free ( Exists in Global) 
x               | match.call      | Free ( Exists in Global) 
Global          | bla             | Local Variable  
Global          | is              | Free (System)   
Global          | Sys.time        | Free (System)   
Global          | e4              | Local Variable  
Global          | as.environment  | Free (System)   
gg4             | g               | Formal Parameter 
Global          | getGenerics     | Free (System)   
Global          | unlist          | Free (System)   
Global          | lapply          | Free (System)   
gg4             | is.null         | Free (System)   
Global          | getGeneric      | Free (System)   
g               | x               | Formal Parameter 
Global          | where           | Local Variable  
Global          | em              | Local Variable  
ggm             | g               | Formal Parameter 
Global          | gms             | Local Variable  
ggm             | is.null         | Free ( Exists in gg4) 
Global          | ggm             | Funtion Call    
Global          | get_S4_generics_with_methods | Free (System)   
Global          | isGeneric       | Free (System)   
Global          | hasMethods      | Free (System)   
Global          | gg4             | Funtion Call    
Global          | t.              | Local Variable  
Global          | ts              | Free (System)   
Global          | frequency       | Local Variable  
Global          | start           | Local Variable  
Global          | x               | Local Variable  
Global          | tt              | Local Variable  
Global          | t2              | Local Variable  
y               | ...             | Formal Parameter 
Global          | tt2             | Local Variable  
Global          | dim             | Free (System)   
setGeneric      | printit         | Formal Parameter 
setGeneric      | name            | Formal Parameter 
Global          | assertCondition | Free (System)   
setMethod       | printit         | Formal Parameter 
setMethod       | match.call      | Free ( Exists in Global) 
Global          | c1              | Local Variable  
Global          | c2              | Local Variable  
Global          | s1              | Local Variable  
Global          | getMethod       | Free (System)   
Global          | s2              | Local Variable  
Global          | dimnames        | Local Variable  
Global          | list            | Free ( Exists in x) 
Global          | nf              | Local Variable  
Global          | n2              | Local Variable  
Global          | n3              | Local Variable  
Global          | ncol            | Local Variable  
setGeneric      | deparse.level   | Formal Parameter 
signature       | na.last         | Formal Parameter 
signature       | decreasing      | Formal Parameter 
signature       | standardGeneric | Free ( Exists in setGeneric) 
Global          | rbind           | Free (System)   
Global          | signature       | Local Variable  
setMethod       | na.rm           | Formal Parameter 
Global          | e1              | Local Variable  
e2              | e1              | Formal Parameter 
e2              | e2              | Formal Parameter 
e2              | sapply          | Free (System)   
Global          | e2              | Local Variable  
