Scope           | Variable        | Typification     
-----------------------------------------------------
                |                 |                 
Global          | car             | Free (System)   
Global          | data            | Free (System)   
Global          | US.pop          | Free (System)   
Global          | attach          | Free (System)   
Global          | plot            | Free (System)   
Global          | year            | Free (System)   
Global          | population      | Free (System)   
Global          | type            | Local Variable  
Global          | col             | Local Variable  
Global          | library         | Free (System)   
Global          | stats           | Free (System)   
Global          | time            | Local Variable  
Global          | pop.mod         | Local Variable  
Global          | nls             | Free (System)   
Global          | beta1           | Free (System)   
Global          | exp             | Free (System)   
Global          | beta2           | Free (System)   
Global          | beta3           | Free (System)   
Global          | start           | Local Variable  
Global          | list            | Free (System)   
Global          | trace           | Local Variable  
Global          | summary         | Free (System)   
Global          | lines           | Free (System)   
Global          | fitted.values   | Free (System)   
Global          | lwd             | Local Variable  
Global          | residuals       | Free (System)   
Global          | abline          | Free (System)   
Global          | h               | Local Variable  
Global          | lty             | Local Variable  
model           | beta1           | Formal Parameter 
model           | beta2           | Formal Parameter 
model           | beta3           | Formal Parameter 
model           | time            | Formal Parameter 
model           | m               | Local Variable  
model           | exp             | Free ( Exists in Global) 
model           | term            | Local Variable  
model           | gradient        | Local Variable  
model           | cbind           | Free (System)   
model           | attr            | Free (System)   
Global          | model           | Local Variable  
Global          | deriv           | Free (System)   
c               | beta1           | Formal Parameter 
c               | beta2           | Formal Parameter 
c               | beta3           | Formal Parameter 
c               | time            | Formal Parameter 
-----------------------------------------------------
